"01180: Kommunestyrevalget. Godkjente stemmer, etter region, politisk parti, statistikkvariabel og fireårlig"

"region";"politisk parti";"Godkjente stemmer 2023"
"3105 Sarpsborg";"Pensjonistpartiet";976
"3105 Sarpsborg";"Piratpartiet";0
"3105 Sarpsborg";"Rettferdighetspartiet";0
"3105 Sarpsborg";"Rød valgallianse (1973-2007)";0
"3105 Sarpsborg";"Samefolkets liste";0
"3105 Sarpsborg";"Samfunnspartiet";0
"3105 Sarpsborg";"Samlingspartiet (Ny Fremtid)";0
"3105 Sarpsborg";"Sogn og Fjordane fisker- og småbrukerparti";0
"3105 Sarpsborg";"Sosialdemokratene";0
"3105 Sarpsborg";"Sosialistisk Folkeparti (1961-1969)";0
"3105 Sarpsborg";"Sosialistisk Valgforbund (1973)";0
"3105 Sarpsborg";"Stopp Innvandringen";0
"3105 Sarpsborg";"Sykehus til Alta";0
"3105 Sarpsborg";"Tverrpolitisk kyst og distriktsparti";0
"3105 Sarpsborg";"Felleslister";0
"3105 Sarpsborg";"Fellesliste Venstre";0
"3105 Sarpsborg";"Fellesliste Bondepartiet";0
"3105 Sarpsborg";"Fellesliste Kristelig folkeparti";0
"3105 Sarpsborg";"Fellesliste Høyre";0
"3105 Sarpsborg";"Fellesliste Senterpartiet";0
"3105 Sarpsborg";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3105 Sarpsborg";"Fellesliste Det nye Folkepartiet";0
"3105 Sarpsborg";"Borgerlige felleslister";0
"3105 Sarpsborg";"Lokale lister";566
"3105 Sarpsborg";"Andre lister";1449
"3107 Fredrikstad";"Arbeiderpartiet";9693
"3107 Fredrikstad";"Fremskrittspartiet";5725
"3107 Fredrikstad";"Høyre";9677
"3107 Fredrikstad";"Kristelig Folkeparti";1163
"3107 Fredrikstad";"Miljøpartiet de Grønne";1797
"3107 Fredrikstad";"Rødt";1556
"3107 Fredrikstad";"Senterpartiet";967
"3107 Fredrikstad";"Sosialistisk Venstreparti";2081
"3107 Fredrikstad";"Venstre";1267
"3107 Fredrikstad";"Abort-motstandernes liste";0
"3107 Fredrikstad";"Anders Langes parti (1973)";0
"3107 Fredrikstad";"Barn/Eldre";0
"3107 Fredrikstad";"Bondepartiet (-1959)";0
"3107 Fredrikstad";"Demokratene i Norge";0
"3107 Fredrikstad";"Det Liberale Folkepartiet";0
"3107 Fredrikstad";"Det nye Folkepartiet (1973-1977)";0
"3107 Fredrikstad";"Det Politiske Parti";0
"3107 Fredrikstad";"Ensliges parti";0
"3107 Fredrikstad";"Fedrelandspartiet";0
"3107 Fredrikstad";"Felles framtid";0
"3107 Fredrikstad";"Folkeaksjonen Fremtid for Finnmark";0
"3107 Fredrikstad";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"3107 Fredrikstad";"Folkemakten";0
"3107 Fredrikstad";"Frie Folkevalgte";0
"3107 Fredrikstad";"Frihetspartiet";0
"3107 Fredrikstad";"Fylkeslistene for miljø og solidaritet";0
"3107 Fredrikstad";"Hjelp fremmedkulturelle hjem ellers ...";0
"3107 Fredrikstad";"Hvit Valgallianse";0
"3107 Fredrikstad";"Kristent konservativt parti";0
"3107 Fredrikstad";"Kristent Samlingsparti";0
"3107 Fredrikstad";"Kvinnenes frie folkevalgte";0
"3107 Fredrikstad";"Kystpartiet";0
"3107 Fredrikstad";"Naturlovpartiet";0
"3107 Fredrikstad";"Norges demokratiske parti";0
"3107 Fredrikstad";"Norges Kommunistiske Parti";0
"3107 Fredrikstad";"Norsk Folkeparti";0
"3107 Fredrikstad";"Norsk Sosialdemokratisk parti";0
"3107 Fredrikstad";"Partiet De Kristne";0
"3107 Fredrikstad";"Pensjonistpartiet";2318
"3107 Fredrikstad";"Piratpartiet";0
"3107 Fredrikstad";"Rettferdighetspartiet";0
"3107 Fredrikstad";"Rød valgallianse (1973-2007)";0
"3107 Fredrikstad";"Samefolkets liste";0
"3107 Fredrikstad";"Samfunnspartiet";0
"3107 Fredrikstad";"Samlingspartiet (Ny Fremtid)";0
"3107 Fredrikstad";"Sogn og Fjordane fisker- og småbrukerparti";0
"3107 Fredrikstad";"Sosialdemokratene";0
"3107 Fredrikstad";"Sosialistisk Folkeparti (1961-1969)";0
"3107 Fredrikstad";"Sosialistisk Valgforbund (1973)";0
"3107 Fredrikstad";"Stopp Innvandringen";0
"3107 Fredrikstad";"Sykehus til Alta";0
"3107 Fredrikstad";"Tverrpolitisk kyst og distriktsparti";0
"3107 Fredrikstad";"Felleslister";0
"3107 Fredrikstad";"Fellesliste Venstre";0
"3107 Fredrikstad";"Fellesliste Bondepartiet";0
"3107 Fredrikstad";"Fellesliste Kristelig folkeparti";0
"3107 Fredrikstad";"Fellesliste Høyre";0
"3107 Fredrikstad";"Fellesliste Senterpartiet";0
"3107 Fredrikstad";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3107 Fredrikstad";"Fellesliste Det nye Folkepartiet";0
"3107 Fredrikstad";"Borgerlige felleslister";0
"3107 Fredrikstad";"Lokale lister";1443
"3107 Fredrikstad";"Andre lister";1895
"3110 Hvaler";"Arbeiderpartiet";1110
"3110 Hvaler";"Fremskrittspartiet";474
"3110 Hvaler";"Høyre";455
"3110 Hvaler";"Kristelig Folkeparti";0
"3110 Hvaler";"Miljøpartiet de Grønne";117
"3110 Hvaler";"Rødt";0
"3110 Hvaler";"Senterpartiet";262
"3110 Hvaler";"Sosialistisk Venstreparti";215
"3110 Hvaler";"Venstre";68
"3110 Hvaler";"Abort-motstandernes liste";0
"3110 Hvaler";"Anders Langes parti (1973)";0
"3110 Hvaler";"Barn/Eldre";0
"3110 Hvaler";"Bondepartiet (-1959)";0
"3110 Hvaler";"Demokratene i Norge";0
"3110 Hvaler";"Det Liberale Folkepartiet";0
"3110 Hvaler";"Det nye Folkepartiet (1973-1977)";0
"3110 Hvaler";"Det Politiske Parti";0
"3110 Hvaler";"Ensliges parti";0
"3110 Hvaler";"Fedrelandspartiet";0
"3110 Hvaler";"Felles framtid";0
"3110 Hvaler";"Folkeaksjonen Fremtid for Finnmark";0
"3110 Hvaler";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"3110 Hvaler";"Folkemakten";0
"3110 Hvaler";"Frie Folkevalgte";0
"3110 Hvaler";"Frihetspartiet";0
"3110 Hvaler";"Fylkeslistene for miljø og solidaritet";0
"3110 Hvaler";"Hjelp fremmedkulturelle hjem ellers ...";0
"3110 Hvaler";"Hvit Valgallianse";0
"3110 Hvaler";"Kristent konservativt parti";0
"3110 Hvaler";"Kristent Samlingsparti";0
"3110 Hvaler";"Kvinnenes frie folkevalgte";0
"3110 Hvaler";"Kystpartiet";0
"3110 Hvaler";"Naturlovpartiet";0
