"","country","region","population_kaggle","area","pop_dens","coastline","net_migration","infant_mortality","gdp_kaggle","literacy","phones","arable","crops","climate","birthrate","deathrate","agriculture","industry","service","code","mismanaged","coastal_pop","population","per_capita_plastic_waste","gdp","per_capita_mismanaged"
"133","Mexico","LATIN AMER. & CARIB",107449525,1972550,54.5,0.47,-4.87,2091,9000,92.2,181.6,12.99,1.31,"15",2069,474,0.038,0.259,0.702,"MEX",101343,22647771,113423047,0.087,15715.9721449501,0.012
"134","Micronesia (country)","OCEANIA",108004,702,153.9,870.66,-20.99,3021,2000,89,114.8,5.71,45.71,"2",2468,475,0.289,0.152,0.559,"FSM",4794,154895,NA,0.103,3297.65693360804,0.085
"135","Moldova","C.W. OF IND. STATES",4466706,33843,132,0,-0.26,4042,1800,99.1,208.1,55.3,10.79,NA,157,1264,0.213,0.233,0.555,"MDA",NA,NA,3572885,NA,3910.86053324527,NA
"136","Monaco","WESTERN EUROPE",32543,2,16271.5,205,7.75,543,27000,99,1035.6,0,0,NA,919,1291,0.17,NA,NA,"MCO",62,34050,35407,0.252,NA,0.005
"137","Mongolia","ASIA (EX. NEAR EAST)",2832224,1564116,1.8,0,0,5379,1800,97.8,55.1,0.77,0,"1",2159,695,0.206,0.214,0.58,"MNG",NA,NA,2756001,NA,7708.59999413593,NA
"138","Montserrat","LATIN AMER. & CARIB",9439,102,92.5,39.22,0,735,3400,97,NA,20,0,"2",1759,71,NA,NA,NA,"MSR",38,5173,5934,0.144,NA,0.02
"139","Morocco","NORTHERN AFRICA",33241259,446550,74.4,0.41,-0.98,4162,4000,51.7,40.4,19.61,2.17,NA,2198,558,0.217,0.357,0.426,"MAR",310126,17303431,31951412,0.073,6443.25361319481,0.049
"140","Mozambique","SUB-SAHARAN AFRICA",19686505,801590,24.6,0.31,0,13079,1200,47.8,3.5,5.1,0.3,"2",3518,2135,0.262,0.348,0.39,"MOZ",45995,9566559,23390765,0.015,917.763832040531,0.013
"141","Namibia","SUB-SAHARAN AFRICA",2044147,825418,2.5,0.19,0,4898,7200,84,62.6,0.99,0,"1",2432,1886,0.097,0.315,0.588,"NAM",5480,155084,2283289,0.144,8460.84736812378,0.097
"142","Nauru","OCEANIA",13287,21,632.7,142.86,0,995,5000,NA,143,0,0,"2",2476,67,NA,NA,NA,"NRU",554,15289,10255,0.144,6592.43683574598,0.099
